iter	RMSE
0	38.0032928
1	33.5432339
2	30.21092134
3	27.60561447
4	25.25563413
5	23.25311596
6	21.18123464
7	19.7454498
8	18.1475301
9	17.10110817
10	16.10026222
11	15.30896735
12	14.61551321
13	13.90395528
14	13.2632283
15	12.60404797
16	11.99723732
17	11.58465578
18	11.21422943
19	10.77614254
20	10.43473413
21	10.04127027
22	9.71934792
23	9.51437555
24	9.357944607
25	9.143403818
26	8.832840352
27	8.461765253
28	8.120481883
29	7.990399094
30	7.803694605
31	7.561548951
32	7.283617184
33	7.149017684
34	6.838360862
35	6.639929809
36	6.55289806
37	6.491401024
38	6.428059419
39	6.372855788
40	6.108120859
41	5.934248349
42	5.703566529
43	5.630605386
44	5.591127501
45	5.469135969
46	5.418624242
47	5.237143769
48	5.045577514
49	5.014008472
50	4.83097808
51	4.79329987
52	4.760727195
53	4.733675985
54	4.639106428
55	4.454912441
56	4.375318399
57	4.204373974
58	4.165381984
59	4.147646738
60	3.980707519
61	3.959053974
62	3.866434893
63	3.780385654
64	3.673058329
65	3.585943003
66	3.556726431
67	3.482135081
68	3.402372068
69	3.342826078
70	3.247313392
71	3.193477346
72	3.186374171
73	3.116233893
74	3.038792839
75	2.984175539
76	2.948400789
77	2.89495952
78	2.8814019
79	2.869973062
80	2.80255216
81	2.722442028
82	2.667785645
83	2.633683349
84	2.602415304
85	2.552807994
86	2.548835342
87	2.519946534
88	2.513689066
89	2.490940144
90	2.473124757
91	2.408593296
92	2.388881571
93	2.338004468
94	2.333839917
95	2.330461812
96	2.294682007
97	2.26898157
98	2.232695246
99	2.21845665
