iter	Passed	Remaining
0	143	14176
1	146	7165
2	148	4806
3	150	3619
4	152	2906
5	154	2421
6	156	2074
7	157	1813
8	158	1607
9	160	1442
10	161	1307
11	162	1194
12	164	1098
13	165	1016
14	166	944
15	167	881
16	168	824
17	169	774
18	170	728
19	171	687
20	172	650
21	173	616
22	174	585
23	175	556
24	176	529
25	177	504
26	177	481
27	179	460
28	179	440
29	180	421
30	181	404
31	182	387
32	183	372
33	184	357
34	185	343
35	185	330
36	186	317
37	187	305
38	188	294
39	189	283
40	189	273
41	190	263
42	191	253
43	192	244
44	193	236
45	194	227
46	195	220
47	196	212
48	197	205
49	198	198
50	199	191
51	199	184
52	200	178
53	201	171
54	202	165
55	203	160
56	204	154
57	205	148
58	206	143
59	207	138
60	208	133
61	208	127
62	209	123
63	210	118
64	211	113
65	212	109
66	213	105
67	214	100
68	214	96
69	215	92
70	216	88
71	217	84
72	218	80
73	219	77
74	220	73
75	221	69
76	222	66
77	222	62
78	223	59
79	224	56
80	225	52
81	226	49
82	227	46
83	228	43
84	228	40
85	229	37
86	230	34
87	231	31
88	231	28
89	232	25
90	233	23
91	234	20
92	235	17
93	236	15
94	237	12
95	238	9
96	238	7
97	239	4
98	240	2
99	241	0
